recipient,purpose,term,amount
"50CAN, Inc.",To support research and education efforts related to teachers' pension systems in the state of Pennsylvania.,2017 - 2018,"$50,000"
"50CAN, Inc.","To promote quality school options in Camden, New Jersey.",2015 - 2017,"$79,059"
"50CAN, Inc.","To facilitate parent and community outreach and develop educational materials on portfolio governance reform efforts in Camden, New Jersey.",2017 - 2018,"$23,437"
"50CAN, Inc.",To provide general operating support.,2018,"$115,000"
Abode Services,"To conduct a randomized controlled trial of a permanent supportive housing program in Santa Clara County, California.",2015 - 2022,"$1,086,569"
Abortion Care Network,To pilot and evaluate a contraception gap fund and professional development program to support women's healthcare providers.,2018 - 2019,"$602,027"
Achievement School District,"To support the transformation of low-performing schools in Memphis, Tennessee.",2015 - 2018,"$1,046,420"
Administrative Office of the Courts of the State of Kentucky - Division of Pretrial Services,"To conduct research on pretrial risk assessment, release, and supervision.",2012,"$171,003"
Administrative Office of the Courts of the State of Kentucky - Division of Pretrial Services,To support implementation of the Public Safety Assessment.,2013 - 2015,"$25,434"
"Alabama Policy Institute, Inc.",To support educational efforts related to public employee benefits reform in the state of Alabama.,2014 - 2015,"$78,000"
"Albert Einstein College of Medicine, Inc.",To conduct a randomized control trial to examine the impact of medical cannabis on opioid analgesic use.,2018 - 2022,"$2,054,259"
Aldine Education Foundation,To help improve student achievement in the Aldine Independent School District in Texas.,2012 - 2015,"$1,110,676"
"Aleph Institute, Inc.",To support the Alternative Sentencing Key Stakeholder Summit.,2016,"$50,000"
Alliance for Health Policy,To host a bipartisan convening to discuss consolidation trends in health care markets.,2018,"$27,456"
Alliance for Health Policy,"To convene health policy experts, key stakeholders, and policymakers to discuss policy solutions to address rising health care costs.",2018 - 2019,"$213,780"
"Alliance for School Choice, Inc.",To educate families about the New Orleans Student Scholarships for Excellence in Education.,2012,"$225,000"
"Alliance for School Choice, Inc.",To educate families about the Louisiana Student Scholarships for Excellence in Education.,2012,"$300,000"
"Alliance for School Choice, Inc.",To educate families about the New Orleans and Louisiana Student Scholarships for Excellence in Education.,2013,"$300,000"
"America Achieves, Inc.",To help governments implement evidence-based policies and programs.,2014 - 2015,"$830,000"
"America Achieves, Inc.",To support Results for America projects that advance government's use of evidence and data.,2016 - 2017,"$2,592,102"
American Academy of Forensic Sciences,To help improve standards in the forensic science community.,2015 - 2021,"$1,534,000"
"American Action Forum, Inc.",To produce a series of policy papers about energy innovation.,2017 - 2018,"$20,000"
American Association for the Advancement of Science,To help improve the accuracy of forensic evidence.,2014 - 2017,"$200,000"
American Association for the Advancement of Science,"To foster open, reliable, and rigorous scientific research by sponsoring workshops on publication standards.",2014 - 2017,"$98,888"
American Bar Association Fund for Justice and Education,To study misdemeanor courts and public defense in an effort to better understand and improve indigent criminal defense.,2018 - 2020,"$656,153"
"American Civil Liberties Union Foundation, Inc.",To help reduce the incarceration of indigent defendants detained solely because they are unable to pay court-imposed fines and fees.,2015 - 2019,"$791,000"
American Council on Capital Formation Center for Policy Research,To conduct nonpartisan research and educational outreach related to energy innovation.,2017 - 2018,"$120,000"
American Enterprise Institute for Public Policy Research,To support educational efforts related to corporate tax reform.,2015 - 2016,"$123,970"
American Enterprise Institute for Public Policy Research,To support research and nonpartisan education regarding higher education student aid.,2018 - 2019,"$39,450"
American Enterprise Institute for Public Policy Research,To identify new philanthropic models for student aid and opportunities to address the rising cost of higher education.,2016 - 2017,"$45,500"
American Enterprise Institute for Public Policy Research,To organize educational workshops about post-secondary student outcomes.,2017 - 2019,"$20,000"
American Enterprise Institute for Public Policy Research,To identify critical lessons about re-entry initiatives and educate key stakeholders.,2018 - 2019,"$48,954"
American Geophysical Union,To develop and implement data-sharing standards for earth and space sciences.,2017 - 2019,"$978,324"
American Institutes for Research in the Behavioral Sciences,To advance evidence-based policymaking and promote the use of longitudinal data in education research.,2016 - 2020,"$3,500,000"
American Institutes for Research in the Behavioral Sciences,To fund a randomized controlled trial of Literacy First.,2017 - 2020,"$319,476"
American Institutes for Research in the Behavioral Sciences,To expand access to public sector retirement research.,2014 - 2016,"$542,193"
